anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
11,68,67,1,1,0,True,True,False
13,68,65,3,1,2,False,False,False
17,68,67,1,1,0,True,True,False
19,67,66,1,1,0,True,True,False
23,67,17,50,1,49,False,False,False
29,68,67,1,1,0,True,True,False
31,68,64,4,1,3,False,False,False
37,69,66,3,1,2,False,False,False
41,68,67,1,1,0,True,True,False
43,68,67,1,1,0,True,True,False
47,68,21,47,1,46,False,False,False
53,67,53,14,1,13,False,False,False
59,68,67,1,1,0,True,True,False
61,68,56,12,1,11,False,False,False
67,69,58,11,1,10,False,False,False
71,68,67,1,1,0,True,True,False
73,68,59,9,1,8,False,False,False
79,67,59,8,1,7,False,False,False
83,67,60,7,1,6,False,False,False
89,68,62,6,1,5,False,False,False
97,69,67,2,1,1,False,False,False
101,68,67,1,1,0,True,True,False
103,68,65,3,1,2,False,False,False
107,68,67,1,1,0,True,True,False
109,67,66,1,1,0,True,True,False
113,67,24,43,1,42,False,False,False
127,69,61,8,1,7,False,False,False
131,68,61,7,1,6,False,False,False
137,68,67,1,1,0,True,True,False
139,67,62,5,1,4,False,False,False
149,68,67,1,1,0,True,True,False
151,68,65,3,1,2,False,False,False
157,69,67,2,1,1,False,False,False
163,68,67,1,1,0,True,True,False
167,68,25,43,1,42,False,False,False
173,67,46,21,1,20,False,False,False
179,68,67,1,1,0,True,True,False
181,68,49,19,1,18,False,False,False
191,68,67,1,1,0,True,True,False
193,68,51,17,1,16,False,False,False
197,68,67,1,1,0,True,True,False
199,67,52,15,1,14,False,False,False
211,68,54,14,1,13,False,False,False
223,68,55,13,1,12,False,False,False
227,68,67,1,1,0,True,True,False
229,67,66,1,1,0,True,True,False
233,67,57,10,1,9,False,False,False
239,68,67,1,1,0,True,True,False
241,68,60,8,1,7,False,False,False
251,68,61,7,1,6,False,False,False
257,68,62,6,1,5,False,False,False
263,67,62,5,1,4,False,False,False
269,68,67,1,1,0,True,True,False
271,68,65,3,1,2,False,False,False
277,69,67,2,1,1,False,False,False
281,68,67,1,1,0,True,True,False
283,68,30,38,1,37,False,False,False
293,67,57,10,1,9,False,False,False
307,69,60,9,1,8,False,False,False
311,68,67,1,1,0,True,True,False
313,68,61,7,1,6,False,False,False
317,68,62,6,1,5,False,False,False
331,68,63,5,1,4,False,False,False
337,69,65,4,1,3,False,False,False
347,68,67,1,1,0,True,True,False
349,67,66,1,1,0,True,True,False
353,67,66,1,1,0,True,True,False
359,68,28,40,1,39,False,False,False
367,69,43,26,1,25,False,False,False
373,68,43,25,1,24,False,False,False
379,67,43,24,1,23,False,False,False
383,67,44,23,1,22,False,False,False
389,68,46,22,1,21,False,False,False
397,69,48,21,1,20,False,False,False
401,68,48,20,1,19,False,False,False
409,67,48,19,1,18,False,False,False
419,68,67,1,1,0,True,True,False
421,68,51,17,1,16,False,False,False
431,68,67,1,1,0,True,True,False
433,68,53,15,1,14,False,False,False
439,67,66,1,1,0,True,True,False
443,67,54,13,1,12,False,False,False
449,68,56,12,1,11,False,False,False
457,69,58,11,1,10,False,False,False
461,68,67,1,1,0,True,True,False
463,68,59,9,1,8,False,False,False
467,68,60,8,1,7,False,False,False
479,68,61,7,1,6,False,False,False
487,69,63,6,1,5,False,False,False
491,68,63,5,1,4,False,False,False
499,67,63,4,1,3,False,False,False
503,67,64,3,1,2,False,False,False
509,68,66,2,1,1,False,False,False
521,68,67,1,1,0,True,True,False
523,68,30,38,1,37,False,False,False
541,68,29,39,1,38,False,False,False
547,69,31,38,1,37,False,False,False
557,68,29,39,1,38,False,False,False
563,67,29,38,1,37,False,False,False
569,68,67,1,1,0,True,True,False
571,68,29,39,1,38,False,False,False
577,69,30,39,1,38,False,False,False
587,68,29,39,1,38,False,False,False
593,67,29,38,1,37,False,False,False
599,68,67,1,1,0,True,True,False
601,68,67,1,1,0,True,True,False
607,69,34,35,1,34,False,False,False
613,68,34,34,1,33,False,False,False
617,68,67,1,1,0,True,True,False
619,67,35,32,1,31,False,False,False
631,68,37,31,1,30,False,False,False
641,68,66,2,1,1,False,False,False
643,68,67,1,1,0,True,True,False
647,68,40,28,1,27,False,False,False
653,67,40,27,1,26,False,False,False
659,68,67,1,1,0,True,True,False
661,68,43,25,1,24,False,False,False
673,68,44,24,1,23,False,False,False
677,68,45,23,1,22,False,False,False
683,67,45,22,1,21,False,False,False
691,68,47,21,1,20,False,False,False
701,68,48,20,1,19,False,False,False
709,67,48,19,1,18,False,False,False
719,68,50,18,1,17,False,False,False
727,69,52,17,1,16,False,False,False
733,68,52,16,1,15,False,False,False
739,67,66,1,1,0,True,True,False
743,67,53,14,1,13,False,False,False
751,68,55,13,1,12,False,False,False
757,69,57,12,1,11,False,False,False
761,68,57,11,1,10,False,False,False
769,67,57,10,1,9,False,False,False
773,67,58,9,1,8,False,False,False
787,69,61,8,1,7,False,False,False
797,68,61,7,1,6,False,False,False
809,68,67,1,1,0,True,True,False
811,68,63,5,1,4,False,False,False
821,68,65,3,1,2,False,False,False
823,68,66,2,1,1,False,False,False
827,68,67,1,1,0,True,True,False
829,67,66,1,1,0,True,True,False
839,68,31,37,1,36,False,False,False
853,68,66,2,1,1,False,False,False
857,68,67,1,1,0,True,True,False
859,67,54,13,1,12,False,False,False
863,67,55,12,1,11,False,False,False
877,69,58,11,1,10,False,False,False
881,68,67,1,1,0,True,True,False
883,68,59,9,1,8,False,False,False
887,68,60,8,1,7,False,False,False
907,69,68,1,1,0,True,True,False
911,68,62,6,1,5,False,False,False
919,67,62,5,1,4,False,False,False
929,68,64,4,1,3,False,False,False
937,69,66,3,1,2,False,False,False
941,68,66,2,1,1,False,False,False
947,68,67,1,1,0,True,True,False
953,67,32,35,1,34,False,False,False
967,69,68,1,1,0,True,True,False
971,68,32,36,1,35,False,False,False
977,68,31,37,1,36,False,False,False
983,67,30,37,1,36,False,False,False
991,68,32,36,1,35,False,False,False
997,69,33,36,1,35,False,False,False
1009,67,31,36,1,35,False,False,False
1013,67,32,35,1,34,False,False,False
1019,68,67,1,1,0,True,True,False
1021,68,34,34,1,33,False,False,False
1031,68,67,1,1,0,True,True,False
1033,68,33,35,1,34,False,False,False
1039,67,32,35,1,34,False,False,False
1049,68,67,1,1,0,True,True,False
1051,68,31,37,1,36,False,False,False
1061,68,67,1,1,0,True,True,False
1063,68,32,36,1,35,False,False,False
1069,67,31,36,1,35,False,False,False
1087,69,67,2,1,1,False,False,False
1091,68,67,1,1,0,True,True,False
1093,68,34,34,1,33,False,False,False
1097,68,35,33,1,32,False,False,False
1103,67,66,1,1,0,True,True,False
1109,68,36,32,1,31,False,False,False
1117,69,37,32,1,31,False,False,False
1123,68,37,31,1,30,False,False,False
1129,67,37,30,1,29,False,False,False
1151,68,67,1,1,0,True,True,False
1153,68,40,28,1,27,False,False,False
1163,67,40,27,1,26,False,False,False
1171,68,42,26,1,25,False,False,False
1181,68,43,25,1,24,False,False,False
1187,68,44,24,1,23,False,False,False
1193,67,44,23,1,22,False,False,False
1201,68,46,22,1,21,False,False,False
1213,68,47,21,1,20,False,False,False
1217,68,48,20,1,19,False,False,False
1223,67,48,19,1,18,False,False,False
1229,68,67,1,1,0,True,True,False
1231,68,51,17,1,16,False,False,False
1237,69,53,16,1,15,False,False,False
1249,67,52,15,1,14,False,False,False
1259,68,54,14,1,13,False,False,False
1277,68,67,1,1,0,True,True,False
1279,67,55,12,1,11,False,False,False
1283,67,56,11,1,10,False,False,False
1289,68,67,1,1,0,True,True,False
1291,68,59,9,1,8,False,False,False
1297,69,61,8,1,7,False,False,False
1301,68,67,1,1,0,True,True,False
1303,68,62,6,1,5,False,False,False
1307,68,63,5,1,4,False,False,False
1319,68,67,1,1,0,True,True,False
1321,68,65,3,1,2,False,False,False
1327,69,67,2,1,1,False,False,False
1361,68,67,1,1,0,True,True,False
1367,68,30,38,1,37,False,False,False
1373,67,29,38,1,37,False,False,False
1381,68,30,38,1,37,False,False,False
1399,67,30,37,1,36,False,False,False
1409,68,30,38,1,37,False,False,False
1423,68,65,3,1,2,False,False,False
1427,68,67,1,1,0,True,True,False
1429,67,66,1,1,0,True,True,False
1433,67,31,36,1,35,False,False,False
1439,68,33,35,1,34,False,False,False
1447,69,67,2,1,1,False,False,False
1451,68,67,1,1,0,True,True,False
1453,68,36,32,1,31,False,False,False
1459,67,36,31,1,30,False,False,False
1471,68,38,30,1,29,False,False,False
1481,68,67,1,1,0,True,True,False
1483,68,40,28,1,27,False,False,False
1487,68,67,1,1,0,True,True,False
1489,67,66,1,1,0,True,True,False
1493,67,42,25,1,24,False,False,False
1499,68,44,24,1,23,False,False,False
1511,68,45,23,1,22,False,False,False
1523,67,45,22,1,21,False,False,False
1531,68,47,21,1,20,False,False,False
1543,68,48,20,1,19,False,False,False
1549,67,66,1,1,0,True,True,False
1553,67,49,18,1,17,False,False,False
1559,68,51,17,1,16,False,False,False
1567,69,53,16,1,15,False,False,False
1571,68,53,15,1,14,False,False,False
1579,67,66,1,1,0,True,True,False
1583,67,54,13,1,12,False,False,False
1597,69,68,1,1,0,True,True,False
1601,68,57,11,1,10,False,False,False
1607,68,67,1,1,0,True,True,False
1609,67,66,1,1,0,True,True,False
1613,67,59,8,1,7,False,False,False
1619,68,67,1,1,0,True,True,False
1621,68,62,6,1,5,False,False,False
1627,69,64,5,1,4,False,False,False
1637,68,64,4,1,3,False,False,False
1657,69,66,3,1,2,False,False,False
1663,68,66,2,1,1,False,False,False
1667,68,67,1,1,0,True,True,False
1669,67,37,30,1,29,False,False,False
1693,68,66,2,1,1,False,False,False
1697,68,67,1,1,0,True,True,False
1699,67,50,17,1,16,False,False,False
1709,68,52,16,1,15,False,False,False
1721,68,67,1,1,0,True,True,False
1723,68,54,14,1,13,False,False,False
1733,67,54,13,1,12,False,False,False
1741,68,56,12,1,11,False,False,False
1747,69,58,11,1,10,False,False,False
1753,68,58,10,1,9,False,False,False
1759,67,58,9,1,8,False,False,False
1777,69,61,8,1,7,False,False,False
1783,68,66,2,1,1,False,False,False
1787,68,67,1,1,0,True,True,False
1789,67,62,5,1,4,False,False,False
1801,68,64,4,1,3,False,False,False
1811,68,65,3,1,2,False,False,False
1823,67,65,2,1,1,False,False,False
1831,68,67,1,1,0,True,True,False
1847,68,34,34,1,33,False,False,False
1861,68,33,35,1,34,False,False,False
1867,69,67,2,1,1,False,False,False
1871,68,67,1,1,0,True,True,False
1873,68,35,33,1,32,False,False,False
1877,68,67,1,1,0,True,True,False
1879,67,35,32,1,31,False,False,False
1889,68,34,34,1,33,False,False,False
1901,68,34,34,1,33,False,False,False
1907,68,34,34,1,33,False,False,False
1913,67,34,33,1,32,False,False,False
1931,68,67,1,1,0,True,True,False
1933,68,36,32,1,31,False,False,False
1949,68,67,1,1,0,True,True,False
1951,68,36,32,1,31,False,False,False
1973,67,36,31,1,30,False,False,False
1979,68,38,30,1,29,False,False,False
1987,69,40,29,1,28,False,False,False
1993,68,40,28,1,27,False,False,False
1997,68,67,1,1,0,True,True,False
1999,67,66,1,1,0,True,True,False
2003,67,42,25,1,24,False,False,False
2011,68,67,1,1,0,True,True,False
2017,69,46,23,1,22,False,False,False
2027,68,67,1,1,0,True,True,False
2029,67,46,21,1,20,False,False,False
2039,68,48,20,1,19,False,False,False
2053,68,49,19,1,18,False,False,False
2063,67,49,18,1,17,False,False,False
2069,68,51,17,1,16,False,False,False
2081,68,67,1,1,0,True,True,False
2083,68,66,2,1,1,False,False,False
2087,68,67,1,1,0,True,True,False
2089,67,54,13,1,12,False,False,False
2099,68,56,12,1,11,False,False,False
2111,68,67,1,1,0,True,True,False
2113,68,58,10,1,9,False,False,False
2129,68,67,1,1,0,True,True,False
2131,68,67,1,1,0,True,True,False
2137,69,62,7,1,6,False,False,False
2141,68,67,1,1,0,True,True,False
2143,68,63,5,1,4,False,False,False
2153,67,63,4,1,3,False,False,False
2161,68,65,3,1,2,False,False,False
2179,67,65,2,1,1,False,False,False
2203,68,67,1,1,0,True,True,False
2207,68,33,35,1,34,False,False,False
2213,67,32,35,1,34,False,False,False
2221,68,32,36,1,35,False,False,False
2237,68,66,2,1,1,False,False,False
2239,67,66,1,1,0,True,True,False
2243,67,34,33,1,32,False,False,False
2251,68,35,33,1,32,False,False,False
2267,68,67,1,1,0,True,True,False
2269,67,35,32,1,31,False,False,False
2273,67,36,31,1,30,False,False,False
2281,68,37,31,1,30,False,False,False
2287,69,37,32,1,31,False,False,False
2293,68,67,1,1,0,True,True,False
2297,68,36,32,1,31,False,False,False
2309,68,67,1,1,0,True,True,False
2311,68,37,31,1,30,False,False,False
2333,67,36,31,1,30,False,False,False
2339,68,67,1,1,0,True,True,False
2341,68,37,31,1,30,False,False,False
2347,69,68,1,1,0,True,True,False
2351,68,39,29,1,28,False,False,False
2357,68,39,29,1,28,False,False,False
2371,68,38,30,1,29,False,False,False
2377,69,67,2,1,1,False,False,False
2381,68,67,1,1,0,True,True,False
2383,68,40,28,1,27,False,False,False
2389,67,40,27,1,26,False,False,False
2393,67,40,27,1,26,False,False,False
2399,68,42,26,1,25,False,False,False
2411,68,40,28,1,27,False,False,False
2417,68,40,28,1,27,False,False,False
2423,67,39,28,1,27,False,False,False
2437,69,68,1,1,0,True,True,False
2441,68,38,30,1,29,False,False,False
2447,68,38,30,1,29,False,False,False
2459,68,36,32,1,31,False,False,False
2467,69,37,32,1,31,False,False,False
2473,68,36,32,1,31,False,False,False
2477,68,36,32,1,31,False,False,False
2503,68,34,34,1,33,False,False,False
2521,68,67,1,1,0,True,True,False
2531,68,34,34,1,33,False,False,False
2539,67,66,1,1,0,True,True,False
2543,67,32,35,1,34,False,False,False
2549,68,67,1,1,0,True,True,False
2551,68,33,35,1,34,False,False,False
2557,69,35,34,1,33,False,False,False
2579,68,35,33,1,32,False,False,False
2591,68,67,1,1,0,True,True,False
2593,68,37,31,1,30,False,False,False
2609,68,38,30,1,29,False,False,False
2617,69,68,1,1,0,True,True,False
2621,68,40,28,1,27,False,False,False
2633,67,40,27,1,26,False,False,False
2647,69,43,26,1,25,False,False,False
2657,68,67,1,1,0,True,True,False
2659,67,43,24,1,23,False,False,False
2663,67,44,23,1,22,False,False,False
2671,68,67,1,1,0,True,True,False
2677,69,48,21,1,20,False,False,False
2683,68,66,2,1,1,False,False,False
2687,68,67,1,1,0,True,True,False
2689,67,65,2,1,1,False,False,False
2693,67,66,1,1,0,True,True,False
2699,68,52,16,1,15,False,False,False
2707,69,66,3,1,2,False,False,False
2711,68,67,1,1,0,True,True,False
2713,68,67,1,1,0,True,True,False
2719,67,55,12,1,11,False,False,False
2729,68,67,1,1,0,True,True,False
2731,68,58,10,1,9,False,False,False
2741,68,59,9,1,8,False,False,False
2749,67,66,1,1,0,True,True,False
2753,67,60,7,1,6,False,False,False
2767,69,63,6,1,5,False,False,False
2777,68,63,5,1,4,False,False,False
2789,68,67,1,1,0,True,True,False
2791,68,67,1,1,0,True,True,False
2797,69,67,2,1,1,False,False,False
2801,68,67,1,1,0,True,True,False
2803,68,40,28,1,27,False,False,False
2819,68,39,29,1,28,False,False,False
2833,68,67,1,1,0,True,True,False
2837,68,38,30,1,29,False,False,False
2843,67,38,29,1,28,False,False,False
2851,68,40,28,1,27,False,False,False
2857,69,41,28,1,27,False,False,False
2861,68,41,27,1,26,False,False,False
2879,68,40,28,1,27,False,False,False
2887,69,41,28,1,27,False,False,False
2897,68,41,27,1,26,False,False,False
2903,67,41,26,1,25,False,False,False
2909,68,42,26,1,25,False,False,False
2917,69,42,27,1,26,False,False,False
2927,68,41,27,1,26,False,False,False
2939,68,40,28,1,27,False,False,False
2953,68,67,1,1,0,True,True,False
2957,68,40,28,1,27,False,False,False
2963,67,39,28,1,27,False,False,False
2969,68,67,1,1,0,True,True,False
2971,68,41,27,1,26,False,False,False
2999,68,67,1,1,0,True,True,False
3001,68,39,29,1,28,False,False,False
3011,68,39,29,1,28,False,False,False
3019,67,38,29,1,28,False,False,False
3023,67,39,28,1,27,False,False,False
3037,69,42,27,1,26,False,False,False
3041,68,42,26,1,25,False,False,False
3049,67,40,27,1,26,False,False,False
3061,68,40,28,1,27,False,False,False
3067,69,40,29,1,28,False,False,False
3079,67,66,1,1,0,True,True,False
3083,67,38,29,1,28,False,False,False
3089,68,39,29,1,28,False,False,False
3109,67,36,31,1,30,False,False,False
3119,68,67,1,1,0,True,True,False
3121,68,37,31,1,30,False,False,False
3137,68,36,32,1,31,False,False,False
3163,68,35,33,1,32,False,False,False
3167,68,67,1,1,0,True,True,False
3169,67,36,31,1,30,False,False,False
3181,68,37,31,1,30,False,False,False
3187,69,39,30,1,29,False,False,False
3191,68,39,29,1,28,False,False,False
3203,67,37,30,1,29,False,False,False
3209,68,37,31,1,30,False,False,False
3217,69,37,32,1,31,False,False,False
3221,68,37,31,1,30,False,False,False
3229,67,37,30,1,29,False,False,False
3251,68,67,1,1,0,True,True,False
3253,68,40,28,1,27,False,False,False
3257,68,67,1,1,0,True,True,False
3259,67,41,26,1,25,False,False,False
3271,68,43,25,1,24,False,False,False
3299,68,67,1,1,0,True,True,False
3301,68,45,23,1,22,False,False,False
3307,69,47,22,1,21,False,False,False
3313,68,47,21,1,20,False,False,False
3319,67,66,1,1,0,True,True,False
3323,67,48,19,1,18,False,False,False
3329,68,67,1,1,0,True,True,False
3331,68,51,17,1,16,False,False,False
3343,68,67,1,1,0,True,True,False
3347,68,53,15,1,14,False,False,False
3359,68,67,1,1,0,True,True,False
3361,68,55,13,1,12,False,False,False
3371,68,67,1,1,0,True,True,False
3373,68,57,11,1,10,False,False,False
3389,68,67,1,1,0,True,True,False
3391,68,59,9,1,8,False,False,False
3407,68,60,8,1,7,False,False,False
3413,67,60,7,1,6,False,False,False
3433,68,62,6,1,5,False,False,False
3449,68,63,5,1,4,False,False,False
3457,69,65,4,1,3,False,False,False
3461,68,67,1,1,0,True,True,False
3463,68,66,2,1,1,False,False,False
3467,68,67,1,1,0,True,True,False
3469,67,35,32,1,31,False,False,False
3491,68,37,31,1,30,False,False,False
3499,67,37,30,1,29,False,False,False
3511,68,39,29,1,28,False,False,False
3517,69,41,28,1,27,False,False,False
3527,68,67,1,1,0,True,True,False
3529,67,64,3,1,2,False,False,False
3533,67,65,2,1,1,False,False,False
3539,68,67,1,1,0,True,True,False
3541,68,45,23,1,22,False,False,False
3547,69,47,22,1,21,False,False,False
3557,68,67,1,1,0,True,True,False
3559,67,47,20,1,19,False,False,False
3571,68,49,19,1,18,False,False,False
3581,68,67,1,1,0,True,True,False
3583,68,51,17,1,16,False,False,False
3593,67,51,16,1,15,False,False,False
3607,69,54,15,1,14,False,False,False
3613,68,67,1,1,0,True,True,False
3617,68,55,13,1,12,False,False,False
3623,67,55,12,1,11,False,False,False
3631,68,57,11,1,10,False,False,False
3637,69,59,10,1,9,False,False,False
3643,68,59,9,1,8,False,False,False
3659,68,60,8,1,7,False,False,False
3671,68,67,1,1,0,True,True,False
3673,68,67,1,1,0,True,True,False
3677,68,63,5,1,4,False,False,False
3691,68,64,4,1,3,False,False,False
3697,69,68,1,1,0,True,True,False
3701,68,66,2,1,1,False,False,False
3709,67,66,1,1,0,True,True,False
3719,68,38,30,1,29,False,False,False
3727,69,68,1,1,0,True,True,False
3733,68,39,29,1,28,False,False,False
3739,67,39,28,1,27,False,False,False
3761,68,37,31,1,30,False,False,False
3767,68,67,1,1,0,True,True,False
3769,67,36,31,1,30,False,False,False
3779,68,37,31,1,30,False,False,False
3793,68,67,1,1,0,True,True,False
3797,68,37,31,1,30,False,False,False
3803,67,36,31,1,30,False,False,False
3821,68,67,1,1,0,True,True,False
3823,68,37,31,1,30,False,False,False
3833,67,37,30,1,29,False,False,False
3847,69,37,32,1,31,False,False,False
3851,68,67,1,1,0,True,True,False
3853,68,38,30,1,29,False,False,False
3863,67,37,30,1,29,False,False,False
3877,69,68,1,1,0,True,True,False
3881,68,37,31,1,30,False,False,False
3889,67,36,31,1,30,False,False,False
3907,69,36,33,1,32,False,False,False
3911,68,66,2,1,1,False,False,False
3917,68,67,1,1,0,True,True,False
3919,67,37,30,1,29,False,False,False
3923,67,65,2,1,1,False,False,False
3929,68,67,1,1,0,True,True,False
3931,68,40,28,1,27,False,False,False
3943,68,41,27,1,26,False,False,False
3947,68,41,27,1,26,False,False,False
3967,69,40,29,1,28,False,False,False
3989,68,36,32,1,31,False,False,False
4001,68,67,1,1,0,True,True,False
4003,68,36,32,1,31,False,False,False
4007,68,36,32,1,31,False,False,False
4013,67,65,2,1,1,False,False,False
4019,68,67,1,1,0,True,True,False
4021,68,37,31,1,30,False,False,False
4027,69,38,31,1,30,False,False,False
4049,68,67,1,1,0,True,True,False
4051,68,37,31,1,30,False,False,False
4057,69,39,30,1,29,False,False,False
4073,67,37,30,1,29,False,False,False
4079,68,39,29,1,28,False,False,False
4091,68,67,1,1,0,True,True,False
4093,68,38,30,1,29,False,False,False
4099,67,38,29,1,28,False,False,False
4111,68,38,30,1,29,False,False,False
4127,68,67,1,1,0,True,True,False
4129,67,66,1,1,0,True,True,False
4133,67,39,28,1,27,False,False,False
4139,68,40,28,1,27,False,False,False
4153,68,66,2,1,1,False,False,False
4157,68,67,1,1,0,True,True,False
4159,67,40,27,1,26,False,False,False
4177,69,41,28,1,27,False,False,False
4201,68,37,31,1,30,False,False,False
4211,68,37,31,1,30,False,False,False
4217,68,67,1,1,0,True,True,False
4219,67,38,29,1,28,False,False,False
4229,68,67,1,1,0,True,True,False
4231,68,39,29,1,28,False,False,False
4241,68,67,1,1,0,True,True,False
4243,68,41,27,1,26,False,False,False
4253,67,41,26,1,25,False,False,False
4259,68,67,1,1,0,True,True,False
4261,68,44,24,1,23,False,False,False
4271,68,67,1,1,0,True,True,False
4273,68,46,22,1,21,False,False,False
4283,67,46,21,1,20,False,False,False
4289,68,48,20,1,19,False,False,False
4297,69,50,19,1,18,False,False,False
4327,69,51,18,1,17,False,False,False
4337,68,67,1,1,0,True,True,False
4339,67,51,16,1,15,False,False,False
4349,68,53,15,1,14,False,False,False
4357,69,55,14,1,13,False,False,False
4363,68,55,13,1,12,False,False,False
4373,67,55,12,1,11,False,False,False
4391,68,57,11,1,10,False,False,False
4397,68,58,10,1,9,False,False,False
4409,68,59,9,1,8,False,False,False
4421,68,67,1,1,0,True,True,False
4423,68,61,7,1,6,False,False,False
4441,68,62,6,1,5,False,False,False
4447,69,64,5,1,4,False,False,False
4451,68,64,4,1,3,False,False,False
4457,68,65,3,1,2,False,False,False
4463,67,65,2,1,1,False,False,False
4481,68,67,1,1,0,True,True,False
4483,68,38,30,1,29,False,False,False
4493,67,38,29,1,28,False,False,False
4507,69,39,30,1,29,False,False,False
4513,68,65,3,1,2,False,False,False
4517,68,67,1,1,0,True,True,False
4519,67,66,1,1,0,True,True,False
4523,67,41,26,1,25,False,False,False
4547,68,67,1,1,0,True,True,False
4549,67,37,30,1,29,False,False,False
4561,68,37,31,1,30,False,False,False
4567,69,39,30,1,29,False,False,False
4583,67,37,30,1,29,False,False,False
4591,68,39,29,1,28,False,False,False
4597,69,41,28,1,27,False,False,False
4603,68,41,27,1,26,False,False,False
4621,68,39,29,1,28,False,False,False
4637,68,66,2,1,1,False,False,False
4639,67,66,1,1,0,True,True,False
4643,67,40,27,1,26,False,False,False
4649,68,67,1,1,0,True,True,False
4651,68,67,1,1,0,True,True,False
4657,69,43,26,1,25,False,False,False
4663,68,42,26,1,25,False,False,False
4673,67,42,25,1,24,False,False,False
4679,68,42,26,1,25,False,False,False
4691,68,41,27,1,26,False,False,False
4703,67,39,28,1,27,False,False,False
4721,68,67,1,1,0,True,True,False
4723,68,39,29,1,28,False,False,False
4729,67,66,1,1,0,True,True,False
4733,67,39,28,1,27,False,False,False
4751,68,38,30,1,29,False,False,False
4759,67,36,31,1,30,False,False,False
4783,68,35,33,1,32,False,False,False
4787,68,67,1,1,0,True,True,False
4789,67,36,31,1,30,False,False,False
4793,67,37,30,1,29,False,False,False
4799,68,67,1,1,0,True,True,False
4801,68,40,28,1,27,False,False,False
4813,68,67,1,1,0,True,True,False
4817,68,42,26,1,25,False,False,False
4831,68,43,25,1,24,False,False,False
4861,68,44,24,1,23,False,False,False
4871,68,45,23,1,22,False,False,False
4877,68,46,22,1,21,False,False,False
4889,68,47,21,1,20,False,False,False
4903,68,48,20,1,19,False,False,False
4909,67,48,19,1,18,False,False,False
4919,68,50,18,1,17,False,False,False
4931,68,67,1,1,0,True,True,False
4933,68,52,16,1,15,False,False,False
4937,68,53,15,1,14,False,False,False
4943,67,53,14,1,13,False,False,False
4951,68,55,13,1,12,False,False,False
4957,69,57,12,1,11,False,False,False
4967,68,67,1,1,0,True,True,False
4969,67,57,10,1,9,False,False,False
4973,67,58,9,1,8,False,False,False
4987,69,61,8,1,7,False,False,False
4993,68,61,7,1,6,False,False,False
4999,67,61,6,1,5,False,False,False
5003,67,62,5,1,4,False,False,False
5009,68,67,1,1,0,True,True,False
5011,68,65,3,1,2,False,False,False
5021,68,67,1,1,0,True,True,False
5023,68,67,1,1,0,True,True,False
5039,68,42,26,1,25,False,False,False
5051,68,41,27,1,26,False,False,False
5059,67,40,27,1,26,False,False,False
5077,69,42,27,1,26,False,False,False
5081,68,42,26,1,25,False,False,False
5087,68,43,25,1,24,False,False,False
5099,68,67,1,1,0,True,True,False
5101,68,45,23,1,22,False,False,False
5107,69,47,22,1,21,False,False,False
5113,68,47,21,1,20,False,False,False
5119,67,47,20,1,19,False,False,False
5147,68,49,19,1,18,False,False,False
5153,67,49,18,1,17,False,False,False
5167,69,52,17,1,16,False,False,False
5171,68,52,16,1,15,False,False,False
5179,67,52,15,1,14,False,False,False
5189,68,54,14,1,13,False,False,False
5197,69,56,13,1,12,False,False,False
5209,67,55,12,1,11,False,False,False
5227,69,67,2,1,1,False,False,False
5231,68,67,1,1,0,True,True,False
5233,68,59,9,1,8,False,False,False
5237,68,60,8,1,7,False,False,False
5261,68,61,7,1,6,False,False,False
5273,67,61,6,1,5,False,False,False
5279,68,67,1,1,0,True,True,False
5281,68,64,4,1,3,False,False,False
5297,68,65,3,1,2,False,False,False
5303,67,65,2,1,1,False,False,False
5309,68,67,1,1,0,True,True,False
5323,68,37,31,1,30,False,False,False
5333,67,36,31,1,30,False,False,False
5347,69,38,31,1,30,False,False,False
5351,68,38,30,1,29,False,False,False
5381,68,38,30,1,29,False,False,False
5387,68,37,31,1,30,False,False,False
5393,67,36,31,1,30,False,False,False
5399,68,36,32,1,31,False,False,False
5407,69,36,33,1,32,False,False,False
5413,68,35,33,1,32,False,False,False
5417,68,67,1,1,0,True,True,False
5419,67,36,31,1,30,False,False,False
5431,68,37,31,1,30,False,False,False
5437,69,37,32,1,31,False,False,False
5441,68,67,1,1,0,True,True,False
5443,68,38,30,1,29,False,False,False
5449,67,37,30,1,29,False,False,False
5471,68,37,31,1,30,False,False,False
5477,68,67,1,1,0,True,True,False
5479,67,38,29,1,28,False,False,False
5483,67,38,29,1,28,False,False,False
5501,68,67,1,1,0,True,True,False
5503,68,38,30,1,29,False,False,False
5507,68,39,29,1,28,False,False,False
5519,68,67,1,1,0,True,True,False
5521,68,66,2,1,1,False,False,False
5527,69,68,1,1,0,True,True,False
5531,68,41,27,1,26,False,False,False
5557,69,39,30,1,29,False,False,False
5563,68,39,29,1,28,False,False,False
5569,67,66,1,1,0,True,True,False
5573,67,38,29,1,28,False,False,False
5581,68,40,28,1,27,False,False,False
5591,68,39,29,1,28,False,False,False
5623,68,33,35,1,34,False,False,False
5639,68,67,1,1,0,True,True,False
5641,68,33,35,1,34,False,False,False
5647,69,65,4,1,3,False,False,False
5651,68,67,1,1,0,True,True,False
5653,68,66,2,1,1,False,False,False
5657,68,67,1,1,0,True,True,False
5659,67,36,31,1,30,False,False,False
